项目名称,招标单位,中标单位,预算金额/中标金额,发布时间,地区,项目类型,公告类型,信息来源网址
广西银泰工程管理有限公司关于柳州城市职业学院软件技术专业教学资源项目采购的公开招标公告,柳州城市职业学院,,,2026.04.28 10:56:06,广西,,公开招标公告,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260428_26468379.htm
宁夏工商职业技术大学应用化工专业群精细化工技术专业虚拟教学软件建设项目的废标公告,宁夏工商职业技术大学,,,2026.04.28 10:17:00,宁夏,A02102100,其他公告,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202604/t20260428_26468038.htm
市发展改革委网上大厅系统（能力提升）软件开发项目成交公告,北京市经济信息中心,有谦软联（北京）信息技术有限公司,117.5万元,2026.04.28 10:00:56,北京,,成交公告,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202604/t20260428_26467989.htm
昆明学院“正版软件授权采购项目”（二次）竞争性谈判补遗公告,昆明学院,,,2026.04.28 09:57:17,云南,,更正公告,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260428_26467916.htm
青岛科技大学厚度数据管理与分析软件采购项目竞争性磋商公告,青岛科技大学,,,2026.04.28 01:03:34,山东,,竞争性磋商公告,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260428_26467427.htm
2026年度山东省药品监督管理局信息化建设第三方软件测试服务项目结果公告（采购包1）,山东省药品监督管理局机关,,,2026.04.28 01:02:26,山东,,中标公告,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260428_26467251.htm
云南省福利彩票发行中心2026年云南福彩销售系统“双活”运行环境软件维护及运营管理平台基础软件使用服务项目采购公开招标公告,云南省福利彩票发行中心,,,2026.04.27 17:42:15,云南,,公开招标公告,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260427_26466017.htm
云梦县人民医院绩效评价体系及软件系统升级优化项目（含DIP接口）中标成交公告,云梦县人民医院,,,2026.04.27 17:36:38,湖北,,中标公告,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260427_26465937.htm
鞍山市公安局支撑打击新型涉网犯罪软件系统服务项目（第二次）招标公告,鞍山市公安局,,,2026.04.27 17:31:09,辽宁,,公开招标公告,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260427_26465886.htm
辽源市政府集中采购中心关于辽源市医疗保障局省级医保信息平台地方数据专区应用系统（软件）建设项目第二次的竞争性谈判公告,辽源市医疗保障局,,,2026.04.27 17:07:51,吉林,,竞争性谈判公告,http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202604/t20260427_26465445.htm
国家金融监督管理总局吉林监管局天池金融监管大数据平台应用软件开发采购项目公开招标公告,中国银行保险监督管理委员会吉林监管局,,,2026.04.27 16:53:22,吉林,服务/信息技术服务/软件开发服务/基础软件开发服务,公开招标公告,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202604/t20260427_26465039.htm
上杭县财政局上杭县财政应用软件2026年运维服务采购实行单一来源采购方式的公示,上杭县财政局,,,2026.04.27 16:25:02,福建,,单一来源公告和公示,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202604/t20260427_26464601.htm
泰州市住房公积金管理中心市本级2026年公积金信息系统维护及升级项目（信息系统软件升级改造部分）【2026年公积金信息系统维护及升级项目（信息系统软件升级改造部分）】单一来源采购公示,泰州市住房公积金管理中心市本级,,,2026.04.27 16:03:33,江苏,行业应用软件开发服务,单一来源公告和公示,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202604/t20260427_26464335.htm
启东市数据局政务服务软件系统改造项目采购公告,启东市数据局（机关）,,,2026.04.27 16:02:38,江苏,行业应用软件开发服务,竞争性磋商公告,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260427_26464295.htm
新建大连市疾病预防控制中心信息化设备及软件采购中标(成交)结果公告,大连市疾病预防控制中心,,,2026.04.27 15:58:48,辽宁,,中标公告,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260427_26464231.htm
白水县人民检察院公益诉讼多功能检测及未成年人心理健康修复设备及软件采购项目中标（成交）结果公告,白水县人民检察院,,,2026.04.27 15:46:47,陕西,,中标公告,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260427_26464072.htm
望都县医院血栓防治软件采购项目公开招标中标公告,望都县县医院,,,2026.04.27 15:25:17,河北,,中标公告,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260427_26463753.htm
系统软件开发项目成交公告,公安部第三研究所,,,2026.04.27 15:25:03,上海,服务/信息技术服务/软件开发服务/信息安全软件开发服务,成交公告,http://www.ccgp.gov.cn/cggg/zygg/cjgg/202604/t20260427_26463687.htm
国家工业信息安全发展研究中心航空专用需求与功能建模软件配套设备采购项目中标公告,国家工业信息安全发展研究中心(工业和信息化部电子第一研究所),,,2026.04.27 15:15:00,北京,,中标公告,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202604/t20260427_26463595.htm
浙江大学在线实时优化软件计算服务器设备一批竞争性磋商,浙江大学,,,2026.04.27 15:07:45,浙江,货物/设备/仪器仪表/教学仪器,竞争性磋商公告,http://www.ccgp.gov.cn/cggg/zygg/jzxcs/202604/t20260427_26463873.htm
