project_name,tenderer,winner,amount,publish_date,region,project_type,notice_type,source_url
河南2023年度智慧城市系统项目,河南市公安局,科技有限责任公司10部,10871606.28,2023-07-03,河南,服务,变更公告,http://example-gov-bidding.com/article/1
江苏2023年度数据中心机房建设项目,中国XX集团江苏分公司,,43336857.61,2023-06-21,江苏,服务,招标公告,http://example-gov-bidding.com/article/2
山东2023年度安防监控工程项目,山东市公安局,科技有限责任公司5部,8662222.15,2023-10-30,山东,货物,变更公告,http://example-gov-bidding.com/article/3
浙江2023年度信息化改造项目,浙江市公安局,科技有限责任公司12部,2756328.11,2023-12-17,浙江,货物,变更公告,http://example-gov-bidding.com/article/4
浙江2023年度信息化改造项目,浙江市公安局,科技有限责任公司12部,2756328.11,2023-12-17,浙江,货物,变更公告,http://example-gov-bidding.com/article/4
河南2023年度大数据平台项目,河南省教育厅,,18293863.22,2023-06-08,河南,货物,招标公告,http://example-gov-bidding.com/article/5
四川2023年度数据中心机房建设项目,中国XX集团四川分公司,,10587659.9,2023-09-29,四川,服务,招标公告,http://example-gov-bidding.com/article/6
陕西2023年度政务云迁移项目,中国XX集团陕西分公司,,2394056.41,2023-04-23,陕西,货物,招标公告,http://example-gov-bidding.com/article/7
山东2023年度数据中心机房建设项目,中国XX集团山东分公司,,37311852.14,2023-04-10,山东,货物,招标公告,http://example-gov-bidding.com/article/8
陕西2023年度信息化改造项目,陕西市公安局,科技有限责任公司14部,23898256.54,2023-03-26,陕西,货物,中标结果,http://example-gov-bidding.com/article/9
陕西2023年度政务云迁移项目,陕西市公安局,科技有限责任公司9部,48803453.5,2023-02-07,陕西,货物,变更公告,http://example-gov-bidding.com/article/10
上海2023年度服务器采购项目,中国XX集团上海分公司,,13520584.54,2023-06-10,上海,工程,招标公告,http://example-gov-bidding.com/article/11
湖北2023年度办公电脑采购项目,湖北省教育厅,科技有限责任公司12部,17194640.89,2023-03-22,湖北,工程,变更公告,http://example-gov-bidding.com/article/12
四川2023年度服务器采购项目,中国XX集团四川分公司,科技有限责任公司2部,23022280.75,2023-06-24,四川,工程,变更公告,http://example-gov-bidding.com/article/13
山东2023年度云服务租赁项目,山东市公安局,科技有限责任公司1部,15124430.45,2023-08-22,山东,工程,变更公告,http://example-gov-bidding.com/article/14
陕西2023年度安防监控工程项目,陕西市公安局,科技有限责任公司5部,7779122.47,2023-11-26,陕西,服务,变更公告,http://example-gov-bidding.com/article/15
浙江2023年度网络安全设备项目,浙江省教育厅,,36068239.14,2023-07-17,浙江,工程,招标公告,http://example-gov-bidding.com/article/16
四川2023年度数据中心机房建设项目,四川市公安局,科技有限责任公司16部,24444331.77,2023-07-23,四川,服务,中标结果,http://example-gov-bidding.com/article/17
河南2023年度信息化改造项目,中国XX集团河南分公司,科技有限责任公司4部,26014071.69,2023-10-07,河南,服务,变更公告,http://example-gov-bidding.com/article/18
四川2023年度智慧城市系统项目,四川省教育厅,科技有限责任公司6部,26556237.14,2023-04-12,四川,货物,中标结果,http://example-gov-bidding.com/article/19
陕西2023年度安防监控工程项目,陕西市公安局,,3603306.01,2023-09-11,陕西,货物,招标公告,http://example-gov-bidding.com/article/20
江苏2023年度服务器采购项目,江苏市公安局,,33756475.02,2023-01-26,江苏,工程,招标公告,http://example-gov-bidding.com/article/21
广东2023年度安防监控工程项目,广东省教育厅,,20984998.54,2023-12-12,广东,服务,招标公告,http://example-gov-bidding.com/article/22
广东2023年度大数据平台项目,广东省教育厅,科技有限责任公司1部,31398542.05,2023-12-04,广东,工程,变更公告,http://example-gov-bidding.com/article/23
湖北2023年度数据中心机房建设项目,中国XX集团湖北分公司,科技有限责任公司17部,17172568.55,2023-12-24,湖北,工程,中标结果,http://example-gov-bidding.com/article/24
江苏2023年度信息化改造项目,江苏市公安局,科技有限责任公司2部,40261114.4,2023-03-22,江苏,服务,变更公告,http://example-gov-bidding.com/article/25
上海2023年度智慧城市系统项目,上海省教育厅,科技有限责任公司18部,43206474.6,2023-05-23,上海,货物,变更公告,http://example-gov-bidding.com/article/26
上海2023年度网络安全设备项目,中国XX集团上海分公司,科技有限责任公司13部,21718902.31,2023-08-31,上海,货物,变更公告,http://example-gov-bidding.com/article/27
北京2023年度智慧城市系统项目,中国XX集团北京分公司,,31335810.08,2023-07-06,北京,货物,招标公告,http://example-gov-bidding.com/article/28
上海2023年度数据中心机房建设项目,中国XX集团上海分公司,科技有限责任公司10部,7173993.46,2023-03-20,上海,货物,变更公告,http://example-gov-bidding.com/article/29
陕西2023年度智慧城市系统项目,中国XX集团陕西分公司,科技有限责任公司4部,25988664.63,2023-12-15,陕西,货物,中标结果,http://example-gov-bidding.com/article/30
陕西2023年度智慧城市系统项目,陕西省教育厅,科技有限责任公司6部,25047376.3,2023-01-14,陕西,工程,变更公告,http://example-gov-bidding.com/article/31
陕西2023年度智慧城市系统项目,中国XX集团陕西分公司,,42282613.64,2023-05-04,陕西,工程,招标公告,http://example-gov-bidding.com/article/32
广东2023年度数据中心机房建设项目,广东省教育厅,,25171172.39,2023-03-12,广东,货物,招标公告,http://example-gov-bidding.com/article/33
广东2023年度智慧城市系统项目,中国XX集团广东分公司,,33709018.25,2023-01-13,广东,服务,招标公告,http://example-gov-bidding.com/article/34
广东2023年度数据中心机房建设项目,广东市公安局,,20821284.34,2023-12-02,广东,货物,招标公告,http://example-gov-bidding.com/article/35
上海2023年度网络安全设备项目,中国XX集团上海分公司,科技有限责任公司19部,46919706.89,2023-05-11,上海,货物,中标结果,http://example-gov-bidding.com/article/36
河南2023年度政务云迁移项目,中国XX集团河南分公司,,41888445.42,2023-01-22,河南,服务,招标公告,http://example-gov-bidding.com/article/37
江苏2023年度服务器采购项目,江苏市公安局,科技有限责任公司11部,37576677.42,2023-07-27,江苏,工程,中标结果,http://example-gov-bidding.com/article/38
浙江2023年度智慧城市系统项目,浙江省教育厅,,32342816.29,2023-05-01,浙江,服务,招标公告,http://example-gov-bidding.com/article/39
浙江2023年度安防监控工程项目,中国XX集团浙江分公司,科技有限责任公司9部,18421784.63,2023-03-10,浙江,工程,中标结果,http://example-gov-bidding.com/article/40
北京2023年度网络安全设备项目,北京市公安局,,10558042.69,2023-01-27,北京,货物,招标公告,http://example-gov-bidding.com/article/41
湖北2023年度数据中心机房建设项目,湖北市公安局,科技有限责任公司9部,42837967.11,2023-06-06,湖北,货物,中标结果,http://example-gov-bidding.com/article/42
浙江2023年度数据中心机房建设项目,中国XX集团浙江分公司,科技有限责任公司8部,38329191.63,2023-10-30,浙江,服务,变更公告,http://example-gov-bidding.com/article/43
河南2023年度服务器采购项目,河南市公安局,,17635351.62,2023-03-17,河南,工程,招标公告,http://example-gov-bidding.com/article/44
湖北2023年度数据中心机房建设项目,中国XX集团湖北分公司,,45848705.72,2023-11-21,湖北,工程,招标公告,http://example-gov-bidding.com/article/45
上海2023年度服务器采购项目,中国XX集团上海分公司,科技有限责任公司18部,3973761.01,2023-08-15,上海,工程,中标结果,http://example-gov-bidding.com/article/46
广东2023年度智慧城市系统项目,中国XX集团广东分公司,科技有限责任公司19部,43377614.44,2023-04-13,广东,货物,中标结果,http://example-gov-bidding.com/article/47
湖北2023年度大数据平台项目,湖北市公安局,科技有限责任公司9部,680162.2,2023-08-28,湖北,工程,变更公告,http://example-gov-bidding.com/article/48
浙江2023年度智慧城市系统项目,浙江市公安局,科技有限责任公司12部,24437997.11,2023-01-24,浙江,服务,变更公告,http://example-gov-bidding.com/article/49
四川2023年度云服务租赁项目,四川省教育厅,科技有限责任公司12部,43179261.96,2023-06-21,四川,货物,变更公告,http://example-gov-bidding.com/article/50
四川2023年度安防监控工程项目,中国XX集团四川分公司,科技有限责任公司3部,23554660.93,2023-04-13,四川,服务,变更公告,http://example-gov-bidding.com/article/51
北京2023年度办公电脑采购项目,北京市公安局,,43685590.82,2023-06-08,北京,货物,招标公告,http://example-gov-bidding.com/article/52
河南2023年度数据中心机房建设项目,河南省教育厅,科技有限责任公司8部,14570150.08,2023-04-16,河南,货物,变更公告,http://example-gov-bidding.com/article/53
四川2023年度大数据平台项目,中国XX集团四川分公司,科技有限责任公司14部,41135244.25,2023-06-16,四川,服务,变更公告,http://example-gov-bidding.com/article/54
河南2023年度办公电脑采购项目,河南市公安局,科技有限责任公司1部,18563894.79,2023-10-09,河南,工程,变更公告,http://example-gov-bidding.com/article/55
山东2023年度服务器采购项目,中国XX集团山东分公司,科技有限责任公司7部,15175139.94,2023-12-03,山东,工程,变更公告,http://example-gov-bidding.com/article/56
江苏2023年度政务云迁移项目,中国XX集团江苏分公司,科技有限责任公司17部,49489859.92,2023-11-28,江苏,工程,变更公告,http://example-gov-bidding.com/article/57
浙江2023年度网络安全设备项目,浙江市公安局,科技有限责任公司18部,35335169.02,2023-10-11,浙江,货物,中标结果,http://example-gov-bidding.com/article/58
浙江2023年度大数据平台项目,浙江市公安局,科技有限责任公司18部,13282095.96,2023-06-10,浙江,货物,中标结果,http://example-gov-bidding.com/article/59
广东2023年度数据中心机房建设项目,广东市公安局,,45516321.85,2023-10-17,广东,服务,招标公告,http://example-gov-bidding.com/article/60
四川2023年度服务器采购项目,四川省教育厅,,5670861.55,2023-11-25,四川,服务,招标公告,http://example-gov-bidding.com/article/61
江苏2023年度信息化改造项目,江苏市公安局,科技有限责任公司5部,24736469.77,2023-09-23,江苏,服务,中标结果,http://example-gov-bidding.com/article/62
江苏2023年度安防监控工程项目,江苏省教育厅,,40177914.33,2023-03-16,江苏,货物,招标公告,http://example-gov-bidding.com/article/63
江苏2023年度政务云迁移项目,江苏市公安局,,20743026.84,2023-03-31,江苏,服务,招标公告,http://example-gov-bidding.com/article/64
湖北2023年度大数据平台项目,湖北省教育厅,,45733591.58,2023-09-17,湖北,服务,招标公告,http://example-gov-bidding.com/article/65
山东2023年度服务器采购项目,中国XX集团山东分公司,,11974252.59,2023-05-23,山东,货物,招标公告,http://example-gov-bidding.com/article/66
上海2023年度数据中心机房建设项目,中国XX集团上海分公司,科技有限责任公司9部,45055343.13,2023-08-07,上海,货物,中标结果,http://example-gov-bidding.com/article/67
上海2023年度数据中心机房建设项目,中国XX集团上海分公司,科技有限责任公司9部,45055343.13,2023-08-07,上海,货物,中标结果,http://example-gov-bidding.com/article/67
山东2023年度数据中心机房建设项目,中国XX集团山东分公司,,802373.26,2023-08-17,山东,服务,招标公告,http://example-gov-bidding.com/article/68
上海2023年度网络安全设备项目,中国XX集团上海分公司,,15217753.72,2023-06-29,上海,服务,招标公告,http://example-gov-bidding.com/article/69
浙江2023年度安防监控工程项目,中国XX集团浙江分公司,科技有限责任公司19部,23383724.9,2023-03-10,浙江,工程,变更公告,http://example-gov-bidding.com/article/70
湖北2023年度智慧城市系统项目,湖北省教育厅,科技有限责任公司17部,23287337.83,2023-07-31,湖北,工程,变更公告,http://example-gov-bidding.com/article/71
河南2023年度办公电脑采购项目,河南省教育厅,科技有限责任公司19部,37072255.72,2023-11-12,河南,货物,变更公告,http://example-gov-bidding.com/article/72
北京2023年度大数据平台项目,北京市公安局,科技有限责任公司10部,39399140.71,2023-12-19,北京,货物,变更公告,http://example-gov-bidding.com/article/73
四川2023年度智慧城市系统项目,四川市公安局,,2065584.83,2023-06-19,四川,货物,招标公告,http://example-gov-bidding.com/article/74
湖北2023年度数据中心机房建设项目,湖北市公安局,,8169758.95,2023-08-14,湖北,服务,招标公告,http://example-gov-bidding.com/article/75
江苏2023年度数据中心机房建设项目,江苏省教育厅,,49324983.25,2023-09-03,江苏,货物,招标公告,http://example-gov-bidding.com/article/76
山东2023年度安防监控工程项目,山东市公安局,科技有限责任公司8部,31989063.49,2023-03-04,山东,货物,中标结果,http://example-gov-bidding.com/article/77
广东2023年度智慧城市系统项目,广东市公安局,科技有限责任公司5部,3590035.82,2023-03-14,广东,服务,变更公告,http://example-gov-bidding.com/article/78
河南2023年度数据中心机房建设项目,中国XX集团河南分公司,,12355804.84,2023-12-06,河南,货物,招标公告,http://example-gov-bidding.com/article/79
河南2023年度数据中心机房建设项目,河南市公安局,,37502931.05,2023-03-28,河南,货物,招标公告,http://example-gov-bidding.com/article/80
河南2023年度数据中心机房建设项目,河南市公安局,,37502931.05,2023-03-28,河南,货物,招标公告,http://example-gov-bidding.com/article/80
北京2023年度信息化改造项目,北京市公安局,科技有限责任公司2部,43259671.6,2023-10-13,北京,工程,中标结果,http://example-gov-bidding.com/article/81
湖北2023年度数据中心机房建设项目,湖北市公安局,科技有限责任公司18部,27660480.7,2023-08-25,湖北,服务,变更公告,http://example-gov-bidding.com/article/82
湖北2023年度数据中心机房建设项目,湖北市公安局,科技有限责任公司18部,27660480.7,2023-08-25,湖北,服务,变更公告,http://example-gov-bidding.com/article/82
北京2023年度智慧城市系统项目,北京市公安局,科技有限责任公司18部,1535732.65,2023-07-28,北京,货物,变更公告,http://example-gov-bidding.com/article/83
陕西2023年度云服务租赁项目,陕西省教育厅,科技有限责任公司8部,45222013.87,2023-05-30,陕西,工程,变更公告,http://example-gov-bidding.com/article/84
北京2023年度网络安全设备项目,北京市公安局,科技有限责任公司15部,11341356.11,2023-05-25,北京,服务,中标结果,http://example-gov-bidding.com/article/85
湖北2023年度智慧城市系统项目,中国XX集团湖北分公司,科技有限责任公司7部,16937827.74,2023-01-25,湖北,工程,中标结果,http://example-gov-bidding.com/article/86
北京2023年度办公电脑采购项目,中国XX集团北京分公司,科技有限责任公司3部,31147743.94,2023-05-14,北京,货物,变更公告,http://example-gov-bidding.com/article/87
江苏2023年度服务器采购项目,江苏省教育厅,,43407671.84,2023-06-11,江苏,工程,招标公告,http://example-gov-bidding.com/article/88
陕西2023年度云服务租赁项目,中国XX集团陕西分公司,科技有限责任公司2部,42102088.29,2023-11-15,陕西,货物,变更公告,http://example-gov-bidding.com/article/89
四川2023年度数据中心机房建设项目,四川市公安局,科技有限责任公司9部,27386239.0,2023-04-18,四川,服务,中标结果,http://example-gov-bidding.com/article/90
上海2023年度信息化改造项目,中国XX集团上海分公司,科技有限责任公司19部,37228367.77,2023-01-14,上海,服务,中标结果,http://example-gov-bidding.com/article/91
河南2023年度云服务租赁项目,河南省教育厅,科技有限责任公司2部,43983553.67,2023-03-14,河南,服务,变更公告,http://example-gov-bidding.com/article/92
江苏2023年度智慧城市系统项目,江苏市公安局,,21346193.25,2023-05-05,江苏,服务,招标公告,http://example-gov-bidding.com/article/93
江苏2023年度智慧城市系统项目,江苏市公安局,科技有限责任公司4部,9002491.03,2023-12-21,江苏,服务,变更公告,http://example-gov-bidding.com/article/94
陕西2023年度数据中心机房建设项目,中国XX集团陕西分公司,科技有限责任公司12部,35083442.75,2023-10-13,陕西,货物,中标结果,http://example-gov-bidding.com/article/95
陕西2023年度安防监控工程项目,陕西市公安局,,35813870.87,2023-08-15,陕西,服务,招标公告,http://example-gov-bidding.com/article/96
